pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
2.460344,712.2812841,6.4438657,4803.0,0.737189,4.52079,CP
2.6014766,575.3502049,12.2265595,4803.0,0.737189,4.52079,CP
22.503541,,2.160344,5780.0,1.2,4.32928,KP
12.962219,,4.606184,5670.0,1.07,4.3925,KP
9.4995191,890.5622134,3.1316735,4351.0,0.76701,4.438,KP
13.446487,,3.180362,5498.0,0.92,4.47934,KP
14.4339,1461.0,2.9776446,5703.0,1.22,4.25824,KP
20.5357,1570.0,3.9502008,6153.0,1.71,4.18077,KP
26.88423,1386.5,2.9776152,5740.0,1.28,4.29219,FP
12.539744,,3.553814,5639.0,1.07973,4.37172,KP
25.4886382,1225.0,12.8379689,5765.0,2.4494,4.34773,FP
13.3368705,788.0973496,3.9228016,4444.0,0.6983,4.438,CP
2.4233421,587.1759148,13.9428705,5206.0,0.741671,4.63095,PC
1.8625587,1222.5973095,0.6047392,4046.0,0.580337,4.60963,CP
12.9171288,1337.8645148,2.5495611,5659.0,1.03997,4.44653,KP
12.6436029,1374.8018137,1.6062693,5192.0,0.984326,4.4617,PC
1.3485121,1019.3295979,0.5182425,3325.0,0.390989,4.88693,CP
5.8181633,3127.2040524,2.1713484,10249.0,2.16986,4.19,FP
11.2154,4045.0,1.9316462,7070.0,2.01,4.03,PC
23.7529,2037.0,1.8675574,8924.0,5.73,,FP
,1631.0,2.74323,5388.5,,4.15,FP
11.3113,4260.0,3.5730141,9219.0,2.15,4.14,FP
6.54449,1112.0,4.55072,5613.0,1.09,,FP
8.6950898,1649.8220699,2.5047918,6616.0,1.53429,,FP
14.7752,1282.0,6.9989206,6596.0,2.7,3.71,PC
3.19621,,2.0483755,6858.5,1.57,4.2,FP
,1456.4246534,1.9600277,8868.7,,,PC
13.1874503,1525.9048089,1.4303699,5600.0,0.890774,4.48851,KP
5.9115908,4382.0266062,0.6808702,9438.0,1.0,,FP
1.44656,1364.0,2.4704981,5413.7,0.94,4.46,PC
24.8132,5098.0,0.884182,8928.0,2.72,3.92,APC
,1037.2753045,5.4255548,8868.7,,,FP
,1625.6180218,1.4095184,9307.0,,,FP
42.1479417,1912.3318636,1.3730466,4897.0,6.7996101,,FP
14.0608342,1158.1310368,12.6889415,7601.0,1.53641,4.31,FP
21.0448,3926.0,1.10422,6995.2,1.61,4.07,FP
22.9123,1419.0,4.95912,5889.0,2.0,3.86,FP
24.2931408,1574.8381848,5.2341008,7645.0,1.56203,4.3,PC
15.4706,1408.0,4.4119378,6280.0,1.21,4.32092,KP
,3661.0,3.28892,8734.2,,4.1,FP
3.34688,1561.0,1.90879,6022.6,1.22,4.52,FP
3.4262,3230.0,3.09574,6084.0,1.41,4.13,FA
21.8839,3827.0,1.3214483,5050.8,2.99,3.56,FP
21.644,463.0,18.0157,4709.0,7.61,,FP
,1914.698926,9.6837921,8598.7,,,PC
3.7255381,682.4360542,14.2694372,5690.0,0.853898,4.58,FP
2.87648,992.0,3.2834565,4272.0,0.68,4.6,PC
2.76586,548.0,11.02875,4272.0,0.68,4.6,PC
2.52314,567.0,5.0113292,4272.0,0.68,4.6,PC
1.20704,2023.0,1.01606,4634.0,0.68,4.64,FP
,,36.22214,,,,FP
14.581841,1504.858953,3.547854,6351.0,1.4,4.22896,KP
17.6729,1057.0,12.1246519,4807.6,1.07,4.17,FP
8.94354,2011.0,5.652623,6415.4,1.92,3.98,FP
14.7738943,2385.8536488,5.6643704,10395.0,2.3383701,4.13,PC
6.77406,,29.0160175,6113.1,2.01,,FP
4.2048368,2188.3820499,3.6344692,9810.0,1.60776,4.43,FP
31.3717884,1583.9546259,6.0742782,5964.0,2.4303801,3.7,PC
5.98375,1294.0,3.7795212,5771.0,1.18,4.31,PC
6.31106,5952.0,1.2025238,9158.0,1.74,4.32,FP
5.51341,,3.2235985,8904.0,2.17,4.09,FP
,,4.420125,,,,APC
13.6237732,1755.0767383,4.0872956,6036.0,2.2186699,3.93359,KP
11.5901,2145.0,2.55555,10037.0,6.04,,FP
43.1068,1924.0,8.30792,9081.0,3.05,3.83,FP
10.0744,3222.0,0.7581018,9917.0,3.51,3.75,PC
3.61078,3174.0,1.4415577,6902.0,1.52,4.25,FP
,,1.0085089,5215.2,,,PC
17.57,2149.0,3.7039994,7013.8,1.9,4.21,FP
9.36472,3569.0,1.3042553,6762.0,1.75,4.11,FP
5.72162,2101.0,0.62627,5622.0,0.93,4.5,FP
10.417,6413.0,0.30412,11892.0,2.52,4.14,FP
16.808853,1654.404068,2.1805277,6599.0,1.2714601,4.21017,KP
13.7028527,1549.4409801,2.1846669,5630.0,1.23824,4.37759,KP
21.2315,1670.0,3.7354838,6650.0,1.57,4.1639,KP
2.3751494,685.2,21.701669,5625.0,1.56486,4.438,FA
3.0629855,1006.9932829,9.139804,5958.2,1.58,4.34,CP
13.088532,,5.742625,5664.0,3.86959,3.26574,FP
2.43432,853.0,15.5077855,6122.0,1.17,4.30881,CP
3.5766828,689.3568807,17.4713078,5783.54,0.974669,4.49925,CP
3.0486928,1263.9861129,5.3079507,6124.3,1.36963,4.38,PC
2.9366826,466.7322968,51.1701501,5599.0,0.943356,4.46138,PC
12.8402271,1518.2372485,11.1296441,5785.0,3.4475601,4.344,PC
17.0216,694.0,9.4496506,5509.0,0.94,4.39758,PC
16.3869,1864.0,2.8493825,6900.0,1.77,4.438,KP
3.89739,619.0,2.0685633,5687.9,1.14,4.6,APC
2.28501,,0.540933,5525.0,1.21935,4.25342,FP
2.30057,826.0,4.1150576,5394.0,0.89,4.50942,CP
2.09966,615.0,10.0665634,5552.0,0.79,4.61783,PC
8.46404,1505.0,7.04083,5317.0,0.91,4.49,FP
13.086872,1308.0417533,2.1061569,5380.0,0.940697,4.4337,KP
11.1276,1899.0,2.4545635,6610.0,1.64,4.15,FP
14.1098,512.0,11.4756978,7262.0,2.13,4.0,FP
4.92567,1680.0,2.78186,6819.0,2.21,3.92,FP
4.59203,471.0,6.4410082,3469.0,0.53,4.71,FP
,1344.9531805,2.4887726,8048.0,,4.438,APC
15.8858,1571.0,4.45199,6708.3,1.57,4.2,APC
2.3107394,971.6657708,5.0100708,5551.0,0.906282,4.46214,PC
2.56778,1434.0,2.2281625,5731.0,1.02,4.43,PC
,1386.0,4.13812,4898.4,,,FP
23.9726,1389.0,10.95663,6456.0,2.07,3.92,APC
13.8516093,1399.9894384,2.4997996,5650.0,1.13732,4.28867,KP
13.3343,2561.0,1.66226,7301.0,1.64,4.23,FP
,,4.07611,,,,FP
4.3503,,3.6245513,6317.0,1.38,,FP
15.1764,,1.20928,5159.8,1.27,4.23,APC
14.0061,1863.0,3.5187707,6690.0,1.49,4.24,APC
4.1624907,3996.2877922,0.7724825,8271.0,2.5027299,3.95,PC
2.36498,1850.0,1.6268695,5034.0,0.73,4.64,FP
,4502.0,2.32439,8268.5,,3.93,FP
6.24633,660.0,13.5499,6209.0,1.63,4.09,FP
19.9664,2653.0,4.43651,7101.9,2.32,3.91,FP
14.201803,1270.187448,3.372877,6050.0,1.02,4.45061,KP
11.1424,588.0,8.34998,4236.0,0.74,4.52,CP
3.7548333,772.378302,4.0686405,4236.0,0.741921,4.52,CP
4.906408,3263.6721812,0.5860366,5579.0,2.39803,3.67,PC
3.34528,2839.0,1.5502952,7851.0,1.86,4.17,FP
4.86242,2569.0,1.80709,6244.0,2.2,3.84,FP
